"","Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"293","2018-05-13","04:00:00",0,26.7,5.6,1.00394866732478,27.5
"294","2018-05-13","05:00:00",0,26.7,5.3,1.00394866732478,27.2
"295","2018-05-13","06:00:00",13.7777777777778,26.8,5.3,1.00493583415597,26.3
"296","2018-05-13","07:00:00",255.888888888889,26.9,5.4,1.00493583415597,25.3
"297","2018-05-13","08:00:00",634.444444444444,26.9,5.8,1.00592300098717,24.6
"298","2018-05-13","09:00:00",741.555555555556,26.9,6.3,1.00592300098717,25.9
"299","2018-05-13","10:00:00",1425.66666666667,26.9,5.9,1.00592300098717,25.9
"300","2018-05-13","11:00:00",1408,26.9,5.9,1.00592300098717,26.5
"301","2018-05-13","12:00:00",1930.44444444444,26.9,6.2,1.00592300098717,26.5
"302","2018-05-13","13:00:00",1999.44444444444,27,6.9,1.00493583415597,27
"303","2018-05-13","14:00:00",1860.22222222222,27.1,6.9,1.00493583415597,26.7
"304","2018-05-13","15:00:00",1683.88888888889,27.5,7.6,1.00394866732478,25.1
"305","2018-05-13","16:00:00",1239.44444444444,28.3,8.2,1.00296150049358,21.5
"306","2018-05-13","17:00:00",625.555555555556,28.1,8.1,1.00296150049358,22.8
"307","2018-05-13","18:00:00",310.777777777778,28.4,8,1.00296150049358,22.1
"308","2018-05-13","19:00:00",137.777777777778,28.6,8.1,1.00296150049358,20.7
"309","2018-05-13","20:00:00",0,28.7,8.1,1.00296150049358,20.5
"310","2018-05-13","21:00:00",0,28.3,7.8,1.00296150049358,22.1
"311","2018-05-13","22:00:00",0,28.1,7.5,1.00394866732478,20.5
"312","2018-05-13","23:00:00",0,28.1,7.7,1.00394866732478,19.7
"313","2018-05-14","00:00:00",0,28.1,7.3,1.00394866732478,21
"314","2018-05-14","01:00:00",0,27.9,7.1,1.00296150049358,22
"315","2018-05-14","02:00:00",0,27.7,6.9,1.00296150049358,25.6
"316","2018-05-14","03:00:00",0,27.6,5.6,1.00197433366239,26.6
"317","2018-05-14","04:00:00",0,27.5,5.5,1.00197433366239,26.7
"318","2018-05-14","05:00:00",0,27.6,5.1,1.00197433366239,25.1
"319","2018-05-14","06:00:00",9.55555555555556,27.6,5.2,1.00197433366239,23.3
"320","2018-05-14","07:00:00",83.5555555555556,27.5,5.2,1.00296150049358,22.3
"321","2018-05-14","08:00:00",316.222222222222,27.4,5.5,1.00394866732478,18
"322","2018-05-14","09:00:00",461.444444444444,27.5,5.7,1.00394866732478,24.7
"323","2018-05-14","10:00:00",750,27.3,6.3,1.00296150049358,23.8
"324","2018-05-14","11:00:00",493.222222222222,27.3,6.7,1.00296150049358,23.3
"325","2018-05-14","12:00:00",550.555555555556,27.3,6,1.00296150049358,25.4
"326","2018-05-14","13:00:00",788.555555555556,27.3,5.9,1.00296150049358,25.6
"327","2018-05-14","14:00:00",628.111111111111,27.3,6.1,1.00197433366239,22.3
"328","2018-05-14","15:00:00",747.333333333333,27.3,8.2,1.00098716683119,16.1
"329","2018-05-14","16:00:00",488.777777777778,27.4,8.4,1,15.4
"330","2018-05-14","17:00:00",365.555555555556,27.4,8.3,1,15.2
"331","2018-05-14","18:00:00",91.6666666666667,27.3,8,1,16
"332","2018-05-14","19:00:00",23.7777777777778,27.4,7.7,1,15.3
"333","2018-05-14","20:00:00",0,27.2,7.5,1,16.1
"334","2018-05-14","21:00:00",0,26.9,7.4,1,16.4
"335","2018-05-14","22:00:00",0,26.8,7.1,1,16.2
"336","2018-05-14","23:00:00",0,26.8,7.1,1,15.4
"337","2018-05-15","00:00:00",0,26.6,6.8,1,15.8
"338","2018-05-15","01:00:00",0,26.4,7,0.999012833168806,16.7
"339","2018-05-15","02:00:00",0,26.4,6.6,0.999012833168806,17.1
"340","2018-05-15","03:00:00",0,26.5,6.2,0.998025666337611,19.1
"341","2018-05-15","04:00:00",0,26.6,5.2,0.998025666337611,20.5
"342","2018-05-15","05:00:00",0,26.1,6.5,0.999012833168806,19.8
